policy_id,customer_id,policy_start_date,policy_end_date,policy_type,product,sum_assured,annual_premium,premium_frequency,tenure_years,age,gender,region,smoking_status,bmi,vehicle_age,is_active
1,1127,20:59.0,20:59.0,Life,Endowment,242971,5027.83,Monthly,16.7,23,Female,North,No,23.4,,1
2,1460,20:59.0,20:59.0,Health,Family Floater,979896,39884.51,Annual,11.7,20,Male,North,No,39.4,,0
3,861,20:59.0,20:59.0,Health,Individual Health,1929732,43050.55,Annual,15.5,33,Female,South,No,36.8,,1
4,1295,20:59.0,20:59.0,Property,Home Insurance,1917307,32689.67,Monthly,14.6,24,Female,South,Yes,23.2,,1
5,1131,20:59.0,20:59.0,Health,Family Floater,327785,11253.78,Annual,4.9,69,Male,East,No,29.7,,1
6,1096,20:59.0,20:59.0,Health,Critical Illness,1440254,51608.68,Quarterly,11.8,31,Male,North,No,36.2,,1
7,1725,20:59.0,20:59.0,Auto,Third Party,318449,14494.83,Monthly,17.5,26,Female,South,No,26,9,1
8,1045,20:59.0,20:59.0,Life,Endowment,803622,28282.96,Annual,9.2,32,Female,North,No,15.4,,0
9,1639,20:59.0,20:59.0,Life,Term Life,1379502,37373.23,Annual,19.4,38,Female,South,No,16.9,,1
10,122,20:59.0,20:59.0,Auto,Own Damage,1438977,62027.7,Quarterly,9.6,52,Female,North,No,27.8,9,1
11,467,20:59.0,20:59.0,Property,Fire Insurance,286371,9710.77,Annual,3.7,19,Female,West,No,39.2,,1
12,1239,20:59.0,20:59.0,Life,Term Life,652251,11593.64,Annual,8.4,44,Female,East,No,32.3,,1
13,331,20:59.0,20:59.0,Health,Family Floater,696275,24233.69,Annual,19.1,19,Male,North,No,16.8,,1
14,1483,20:59.0,20:59.0,Life,Whole Life,1774502,83012.36,Annual,7.1,52,Male,West,No,19.7,,1
15,88,20:59.0,20:59.0,Health,Critical Illness,174591,5040.61,Quarterly,17.5,35,Male,North,No,34.3,,1
16,1397,20:59.0,20:59.0,Property,Fire Insurance,642054,16289.81,Annual,17.7,31,Female,North,No,36,,1
17,1124,20:59.0,20:59.0,Auto,Own Damage,580799,11628.43,Annual,7.7,37,Female,West,No,30.4,14,1
18,872,20:59.0,20:59.0,Life,Term Life,689104,13989.22,Quarterly,2.6,35,Female,North,No,31.1,,1
19,1688,20:59.0,20:59.0,Auto,Own Damage,550981,16610.43,Annual,14.8,27,Male,North,No,15.7,6,1
20,131,20:59.0,20:59.0,Life,Term Life,823720,29529.37,Annual,6.9,42,Female,East,Yes,35.7,,1
21,1686,20:59.0,20:59.0,Health,Critical Illness,993681,17708.92,Quarterly,15.9,19,Female,West,No,34.7,,1
22,1333,20:59.0,20:59.0,Auto,Third Party,316909,15175.16,Annual,9.4,42,Female,West,No,21.5,0,1
23,770,20:59.0,20:59.0,Life,Endowment,1250002,51787.18,Quarterly,10.2,71,Female,South,No,32.7,,0
24,344,20:59.0,20:59.0,Health,Critical Illness,1384649,49199.12,Monthly,15.8,50,Male,North,No,20.4,,1
25,1516,20:59.0,20:59.0,Auto,Comprehensive Auto,1258468,55366.74,Annual,8.3,53,Female,East,No,16,9,1
26,1438,20:59.0,20:59.0,Auto,Third Party,1210152,21548.62,Annual,9.4,48,Male,North,Yes,20,3,1
27,806,20:59.0,20:59.0,Life,Endowment,1521315,48209.5,Annual,8.1,31,Male,North,No,19.5,,1
28,386,20:59.0,20:59.0,Life,Whole Life,1693952,62766.44,Annual,8,18,Female,South,No,23.4,,0
29,1216,20:59.0,20:59.0,Life,Endowment,1033667,45484.3,Monthly,11,63,Female,North,Yes,25.5,,1
30,956,20:59.0,20:59.0,Health,Critical Illness,1176101,49891.89,Monthly,16.4,33,Female,East,No,27.7,,1
31,277,20:59.0,20:59.0,Life,Whole Life,63780,1575.2,Annual,7.9,71,Female,East,No,26.9,,1
32,1185,20:59.0,20:59.0,Auto,Own Damage,318733,15277.13,Quarterly,11,63,Female,South,No,21.8,8,1
33,460,20:59.0,20:59.0,Auto,Third Party,930096,17999.31,Monthly,13.7,69,Female,North,No,15.7,12,0
34,1338,20:59.0,20:59.0,Life,Endowment,1013443,46243.08,Monthly,6.1,20,Female,East,No,30.1,,0
35,22,20:59.0,20:59.0,Life,Term Life,1543285,75594.59,Annual,6.3,52,Male,North,No,24.9,,1
36,253,20:59.0,20:59.0,Property,Fire Insurance,154188,3268.84,Annual,18.7,58,Male,North,Yes,22.5,,1
37,748,20:59.0,20:59.0,Auto,Own Damage,667614,26886.36,Annual,14.7,23,Male,North,No,36.7,0,1
38,857,20:59.0,20:59.0,Health,Critical Illness,877385,14397.88,Monthly,12,42,Male,South,No,33.7,,1
39,1585,20:59.0,20:59.0,Property,Home Insurance,640073,18683.6,Annual,13.3,30,Male,North,No,36.4,,1
40,475,20:59.0,20:59.0,Life,Whole Life,1642173,54306.52,Annual,1.6,70,Male,East,No,27.4,,1
41,1083,20:59.0,20:59.0,Life,Endowment,1677059,59238.06,Annual,12.7,51,Male,North,No,18.3,,0
42,511,20:59.0,20:59.0,Auto,Comprehensive Auto,1124477,53702.55,Annual,10.7,25,Other,East,No,32.4,8,1
43,1706,20:59.0,20:59.0,Life,Endowment,1777512,68485.36,Annual,11.4,38,Male,North,No,20.2,,0
44,1500,20:59.0,20:59.0,Health,Family Floater,1523300,48509.07,Monthly,7.8,51,Female,East,No,26,,1
45,700,20:59.0,20:59.0,Auto,Own Damage,517927,22446.24,Annual,2.5,21,Male,East,Yes,16.6,7,1
46,976,20:59.0,20:59.0,Life,Endowment,1648328,79562.57,Annual,4.7,42,Female,North,No,35.6,,0
47,1807,20:59.0,20:59.0,Auto,Own Damage,1376980,21718.16,Annual,19.1,32,Male,North,No,18.1,4,0
48,190,20:59.0,20:59.0,Life,Endowment,699285,34536.46,Annual,8.8,21,Male,East,No,37.6,,1
49,958,20:59.0,20:59.0,Life,Term Life,347584,6261.6,Annual,9.9,62,Female,West,No,36.6,,1
50,687,20:59.0,20:59.0,Life,Term Life,1455802,63332.54,Annual,2,29,Male,South,No,26.6,,1
51,958,20:59.0,20:59.0,Health,Family Floater,942015,23373.01,Annual,1.7,49,Male,West,No,33.6,,0
52,563,20:59.0,20:59.0,Health,Individual Health,630971,12383.62,Annual,14.6,49,Male,West,No,30.5,,0
53,1900,20:59.0,20:59.0,Auto,Comprehensive Auto,436350,13262.84,Annual,11.2,45,Male,North,No,35.1,5,0
54,1591,20:59.0,20:59.0,Life,Whole Life,222502,8352.39,Annual,10.7,30,Male,South,No,25.8,,1
55,1268,20:59.0,20:59.0,Life,Term Life,1606570,45519.45,Monthly,5.6,48,Male,West,No,34.6,,1
56,832,20:59.0,20:59.0,Health,Individual Health,1779041,30083.21,Monthly,15.2,31,Female,North,No,26.6,,1
57,1529,20:59.0,20:59.0,Life,Whole Life,1701348,61216.44,Annual,4.2,37,Female,West,No,38.5,,1
58,1155,20:59.0,20:59.0,Health,Family Floater,824107,38390.29,Annual,4.6,35,Female,West,No,27.2,,0
59,1509,20:59.0,20:59.0,Life,Whole Life,904741,25705.99,Monthly,9.8,46,Male,North,No,26.6,,1
60,1843,20:59.0,20:59.0,Auto,Own Damage,882359,19916.3,Annual,6.4,23,Female,North,No,34.6,6,1
61,647,20:59.0,20:59.0,Life,Endowment,1305062,39791.61,Monthly,5.7,49,Male,North,No,35.5,,1
62,21,20:59.0,20:59.0,Life,Whole Life,1927954,32182.75,Monthly,13.3,46,Male,South,No,28.9,,1
63,841,20:59.0,20:59.0,Property,Fire Insurance,962935,42096.69,Annual,13.4,60,Female,West,No,19.5,,1
64,167,20:59.0,20:59.0,Health,Family Floater,499777,21951.17,Annual,16.7,19,Male,North,No,26.7,,1
65,1298,20:59.0,20:59.0,Life,Endowment,191449,6811.76,Monthly,8.9,40,Male,East,Yes,39.2,,1
66,388,20:59.0,20:59.0,Life,Endowment,627880,17177.92,Annual,2.4,36,Female,West,No,33.8,,1
67,601,20:59.0,20:59.0,Property,Home Insurance,1236995,53181.41,Annual,6.2,48,Female,East,No,35.3,,1
